p,gamma,R,phase
0.5918367346938775,0.061224489795918366,0.2982148553644374,Traversable
0.6122448979591836,0.061224489795918366,0.2956328599661342,Traversable
0.6326530612244897,0.061224489795918366,0.2925043818643136,Traversable
0.6530612244897959,0.061224489795918366,0.288811662704672,Traversable
0.673469387755102,0.061224489795918366,0.2845327348566329,Traversable
0.6938775510204082,0.061224489795918366,0.27964068996141705,Traversable
0.7142857142857142,0.061224489795918366,0.27410270218577665,Disconnected
0.7346938775510203,0.061224489795918366,0.26787871284470594,Disconnected
0.7551020408163265,0.061224489795918366,0.26091963481400365,Disconnected
0.7755102040816326,0.061224489795918366,0.2531648562773955,Disconnected
0.7959183673469387,0.061224489795918366,0.24453868950082397,Disconnected
0.8163265306122448,0.061224489795918366,0.2349451733020943,Disconnected
0.836734693877551,0.061224489795918366,0.22426019673465594,Disconnected
0.8571428571428571,0.061224489795918366,0.2123190401431929,Disconnected
0.8775510204081632,0.061224489795918366,0.1988955790396851,Disconnected
0.8979591836734693,0.061224489795918366,0.18366509059176506,Disconnected
0.9183673469387754,0.061224489795918366,0.16613132524895952,Disconnected
0.9387755102040816,0.061224489795918366,0.1454637636740319,Disconnected
0.9591836734693877,0.061224489795918366,0.1200547102024671,Disconnected
0.9795918367346939,0.061224489795918366,0.08578984746301173,Disconnected
1.0,0.061224489795918366,0.0,Disconnected
0.0,0.08163265306122448,0.0,Disconnected
0.02040816326530612,0.08163265306122448,0.08152259844885458,Disconnected
0.04081632653061224,0.08163265306122448,0.11408310215202407,Disconnected
0.061224489795918366,0.08163265306122448,0.13822829094048697,Disconnected
0.08163265306122448,0.08163265306122448,0.15786783306598418,Disconnected
0.1020408163265306,0.08163265306122448,0.17452945624877703,Disconnected
0.12244897959183673,0.08163265306122448,0.1890023691940418,Disconnected
0.14285714285714285,0.08163265306122448,0.20175813764096548,Disconnected
0.16326530612244897,0.08163265306122448,0.21310533247355276,Disconnected
0.18367346938775508,0.08163265306122448,0.2232588305843666,Disconnected
0.2040816326530612,0.08163265306122448,0.23237515835402273,Disconnected
0.22448979591836732,0.08163265306122448,0.240572253360894,Disconnected
0.24489795918367346,0.08163265306122448,0.24794130360862018,Disconnected
0.26530612244897955,0.08163265306122448,0.2545542320686666,Disconnected
